Destination,Continent,Region,countryCode,Total,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte dIvoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic Peoples Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao Peoples Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
WORLD,WORLD,WORLD,900,2.44E+08,2139539,7644005,4843117,1122910,1763771,2035,7571,555403,2406,65489,940273,937299,16724,526579,575828,1146769,40095,55964,7205410,98464,1485323,530990,59884,615852,17046,44190,799605,8920,1650772,58346,1544024,4624,46237,1176390,1453378,284187,165732,1187142,328604,1286176,1569,440745,208137,20335,612409,9546065,1041264,140395,2638852,116516,220501,21505,133185,850105,865147,1426380,69893,177185,932582,112783,1403757,250675,15927,69817,1304493,1101923,3268970,1436158,81029,499916,198042,753492,14284,1124,204934,295077,2145975,4372,1337,63209,89639,838430,4045411,801710,13065,871643,17552,65812,10610,2144,1017517,426941,101828,460286,1195240,182,648520,595937,38496,15575724,3876739,1123383,1479966,882022,10957,342585,2900924,1067455,797496,699719,4075738,455889,4717,187871,760847,1345075,337678,798140,363763,276630,141623,3870,544120,61058,169984,302515,1835252,2844,1005607,103392,6901,13618,119334,168255,6602,12339062,19798,28626,59266,138356,17744,2834641,713867,2881797,145852,2391,1629306,981434,6330,802335,638958,356793,1093644,5355,2649,193477,21333,5935193,2552,142706,4631,845373,1409676,5316320,4449789,2306321,1768384,25681,2345840,888610,3028,3408118,10576766,315866,3958,39132,55414,435,60424,113139,2303,35833,270029,586870,964585,11772,145003,313884,23811,341620,140490,3833,1998764,841120,634613,1251004,1637385,3551185,1890861,267800,95671,333428,664557,5011509,589748,854327,516024,37311,446982,2255,56524,363332,651044,3114471,242948,1878,3472,736017,5825745,136557,4917460,294531,3023657,3407,346976,1991040,8583,606344,2558678,7843,91034,1012889,238121,856345
Africa,Africa,Africa,903,20649557,350543,1586186,677,599,40194,0,0,317380,0,448,2813,491,0,10180,7506,37,62,1637,13166,30,1290,13505,0,584924,62,0,164,0,583,51832,6093,23,100,4328,1425661,255655,19862,0,120292,13280,0,421734,190057,0,669,49332,1757,0,604,79274,114996,0,0,675031,1135,3168,0,5381,2435,592,1192697,4502,5544,0,0,14,48253,945,60698,330741,179,174421,0,0,47,1875,243082,0,0,39377,20928,0,77731,403038,65,13926,0,0,0,0,102,330032,60104,56,0,0,0,487,32,103582,20408,1550,96630,13947,0,5744,46082,197,4763,30373,1039,108050,0,16406,92,32,427,30443,362194,180275,27289,0,431,71,36177,280881,13630,126,902279,348,0,0,88654,16915,6507,369,0,393,17,0,0,17837,628844,232,138719,23,307,26312,0,3363,110,345382,375435,21,28,2103,2330,17870,0,58,62,121,211,8201,11362,74133,0,1860,3794,70,1190,2631,27750,285975,242,26,0,0,0,0,0,16655,56652,272160,4132,1553,61267,1756,0,499,43,0,1276600,109442,615130,9135,5346,494396,1190255,0,92231,2051,5387,183929,823,5295,257,8,390662,0,0,26,7088,4785,290,0,0,597176,5738,3824,357929,173037,54265,71,117,502,0,343,164,0,90939,32482,164304,603246
Eastern Africa,Africa,Eastern Africa,910,6129113,102542,457137,0,0,0,0,0,19059,0,0,0,0,0,522,0,0,0,0,8696,0,0,806,0,0,0,0,0,0,0,6066,0,0,0,0,0,210640,6776,0,892,830,0,4574,5184,0,0,8480,23,0,0,73767,35974,0,0,0,0,43,0,0,0,154,874013,180,3705,0,0,0,5375,0,0,165038,0,65255,0,0,0,0,106356,0,0,0,0,0,1800,179,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,40502,142,0,0,50,0,0,1261,0,307,0,0,85553,0,0,0,0,0,0,7989,0,153,0,0,0,35030,199274,61,38,432,0,0,0,0,5805,6507,0,0,0,0,0,0,0,166964,0,2278,0,177,221,0,0,0,0,4637,0,0,0,0,2853,0,0,0,0,0,707,0,4420,0,0,180,0,850,0,461,156766,0,0,0,0,0,0,0,0,0,131,0,498,0,0,0,0,0,0,1058550,40846,469047,114,1726,0,748888,0,88,0,105,0,0,239,0,0,0,0,0,0,0,0,0,0,0,574491,0,0,13555,158363,3694,0,0,0,0,0,0,0,0,410,87781,82861
Burundi,Africa,Eastern Africa,108,286810,3242,20599,,,,,,,,,,,,,,,,,,,,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167768,,,,,,,,,,,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891,,,,28008,,,,,,,,,,,,
Comoros,Africa,Eastern Africa,174,12555,597,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,9651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,
Djibouti,Africa,Eastern Africa,262,112351,1679,5042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,
Eritrea,Africa,Eastern Africa,232,15941,693,1533,,,,,,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046,,,,,,,,,,135,,,,192,,,,,,,,,,,1688,,,,,,,,,,,108,,,,,436,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,351,,,,,,,,,,,,,,772,,,,,,,,,,,,,,,,,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,,,,,,,,,,,,,,,,,,,2457,122,1490,,,,208,,,,,,,,,,,,,,,,,,,1524,,,56,526,,,,,,,,,,,241,324
Ethiopia,Africa,Eastern Africa,231,1072949,17477,52431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,102,,3705,,,,,,,156030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,442910,,375202,,,,24539,,,,,,,,,,,,,,,,,,,218,,,,,,,,,,,,,,145,,
Kenya,Africa,Eastern Africa,404,1084357,21112,39318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4345,,,,,,,,,,,,,,,,,,,,,,,,,11292,,,,,,,,,2127,,36889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6330,,,,,,,,,,,,,,,,,,,488470,112,92355,,,,7614,,,,,,,,,,,,,,,,,,,333789,,,,39935,,,,,,,,,,,,
Madagascar,Africa,Eastern Africa,450,32075,4785,3827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979,,,,10953,,,,,,,,,,,,,,,,,,,,,,,,,,,8950,,,,,,,,,,,,,,,,,,,,,,,1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
